InChiKey,SMILE,Ca,Cn,Pl,Fp,Af,Max,Average,Stddev,pert_iname
TVQZAMVBTVNYLA-SECBINFHSA-N,C[C@@H](C(O)=O)c1ccc2Oc3ncccc3Cc2c1,"0,08400","0,07046","0,06995","0,05498","0,10056","0,10056","0,07599","0,01715",
ZHXRDXTYPCPBTI-UHFFFAOYSA-N,OC(=O)CCCN1C(=O)c2cccc3cccc(C1=O)c23,"0,08413","0,07049","0,06997","0,05513","0,10055","0,10055","0,07605","0,01711",
ISKHMDNIWXPUGR-UHFFFAOYSA-N,CC(C)CN1CCC(CNC(=O)c2cc(Cl)c(N)n3cc(C)nc23)CC1,"0,08309","0,06922","0,06869","0,05366","0,10053","0,10053","0,07504","0,01765",
BLXXJMDCKKHMKV-UHFFFAOYSA-N,COc1ccc2cc(CCC(C)=O)ccc2c1,"0,08399","0,07046","0,06982","0,05503","0,10052","0,10052","0,07597","0,01713",
RTZKSTLPRTWFEV-QWHCGFSZSA-N,COc1cc2C[C@H](C)[C@H](C)Cc3cc4OCOc4c(OC)c3-c2c(OC)c1OC,"0,08034","0,06533","0,06471","0,04953","0,10050","0,10050","0,07208","0,01926",
UCFGDBYHRUNTLO-QHCPKHFHSA-N,CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)c(CN(C)C)c4cc3Cn1c2=O,"0,08201","0,06756","0,06710","0,05197","0,10049","0,10049","0,07382","0,01830",
DPSPPJIUMHPXMA-ZETCQYMHSA-N,C[C@H]1CCc2cc(F)cc3c2n1cc(C(O)=O)c3=O,"0,08390","0,07033","0,06998","0,05496","0,10047","0,10047","0,07593","0,01712",
DEQLGSOHGTZKFB-UHFFFAOYSA-N,Cc1c(Cn2ccnc2)c2ccccc2n1CCC(O)=O,"0,08419","0,07030","0,06958","0,05491","0,10047","0,10047","0,07589","0,01721",
ANGKOCUUWGHLCE-HKUYNNGSSA-N,C[N+]1(C)CC[C@@H](C1)OC(=O)[C@@](O)(C1CCCC1)c1ccccc1,"0,08055","0,06658","0,06566","0,05015","0,10045","0,10045","0,07268","0,01889",
MXWZRRPNVLCHMY-UHFFFAOYSA-N,Brc1ccc2C(=O)C(=O)C=Cc2c1,"0,08329","0,06996","0,06967","0,05463","0,10045","0,10045","0,07560","0,01720",
PHGWDAICBXUJDU-SNVBAGLBSA-N,Clc1cc2NC(=O)[C@H]3CNCCN3c2cc1Cl,"0,08235","0,06838","0,06774","0,05289","0,10044","0,10044","0,07436","0,01792",
BKCDJTRMYWSXMC-UHFFFAOYSA-N,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1,"0,08092","0,06687","0,06603","0,05108","0,10044","0,10044","0,07307","0,01859",
WPGGHFDDFPHPOB-BBWFWOEESA-N,OC(=O)[C@H](CC(=O)N1C[C@H]2CCCC[C@H]2C1)Cc1ccccc1,"0,08324","0,07024","0,06977","0,05470","0,10044","0,10044","0,07568","0,01714",
JTDYUFSDZATMKU-UHFFFAOYSA-N,ONC(=O)CCCCCN1C(=O)c2cccc3cccc(C1=O)c23,"0,08401","0,07041","0,06996","0,05511","0,10043","0,10043","0,07599","0,01707",
ZBGXUVOIWDMMJE-QHNZEKIYSA-N,CCOC(=O)N[C@@H]1CC[C@@H]2[C@H](C[C@@H]3[C@@H]([C@@H](C)OC3=O)[C@H]2\C=C\c2ccc(cn2)-c2cccc(F)c2)C1,"0,08301","0,06914","0,06846","0,05361","0,10041","0,10041","0,07493","0,01764",
MJPPGVVIDGQOQT-HYXAFXHYSA-N,[O-][N+](=O)C(\Br)=C/c1ccc(Br)o1,"0,08321","0,06978","0,06937","0,05460","0,10038","0,10038","0,07547","0,01721",
CVOUSAVHMDXCKG-UHFFFAOYSA-N,O\N=C1/C(=O)Nc2c1ccc(Cl)c2Cl,"0,08356","0,06977","0,06928","0,05443","0,10037","0,10037","0,07548","0,01731",
JMPOIZCOJJMTHI-UHFFFAOYSA-N,OC(=O)c1ccc(NC(=O)CCn2cnc3c2[nH]cnc3=O)cc1,"0,08437","0,07061","0,07007","0,05536","0,10035","0,10035","0,07615","0,01698",
YXYXCSOJKUAPJI-ZBRFXRBCSA-N,C[C@]12CC[C@H]3[C@@H](CCc4cc(OS(N)(=O)=O)ccc34)[C@@H]1CC[C@@H]2O,"0,08214","0,06856","0,06793","0,05276","0,10035","0,10035","0,07435","0,01787",
DHCNAWNKZMNTIS-GFCCVEGCSA-N,COC(=O)C1=C(C)NC(C)=C([C@@H]1C)C(=O)OCCSc1ccccc1,"0,08324","0,06961","0,06942","0,05439","0,10034","0,10034","0,07540","0,01728",
BMUKKTUHUDJSNZ-PMUMKWKESA-N,C[C@@H](COc1ccccc1)N[C@H](C)[C@@H](O)c1ccc(O)cc1,"0,08379","0,07019","0,06932","0,05448","0,10033","0,10033","0,07562","0,01727",
TYMRLRRVMHJFTF-UHFFFAOYSA-N,NCc1ccc(cc1)S(N)(=O)=O,"0,08320","0,07025","0,07005","0,05504","0,10031","0,10031","0,07577","0,01696",
SQWGHMPVSMSPNY-UHFFFAOYSA-N,OCC[N+]12CN3CN(CN(C3)C1)C2,"0,08047","0,06635","0,06548","0,05048","0,10030","0,10030","0,07262","0,01877",
FVNFBBAOMBJTST-UHFFFAOYSA-N,O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,"0,08205","0,06825","0,06758","0,05272","0,10030","0,10030","0,07418","0,01791",
VWQZJJZGISNFOE-UHFFFAOYSA-N,OC(=O)C(=O)Nc1cccc(c1)-c1nn[nH]n1,"0,08398","0,07045","0,07014","0,05514","0,10028","0,10028","0,07600","0,01698",
YAZSBRQTAHVVGE-UHFFFAOYSA-N,Nc1ccccc1S(N)(=O)=O,"0,08294","0,07006","0,06982","0,05477","0,10027","0,10027","0,07557","0,01703",
NTJOBXMMWNYJFB-GFCCVEGCSA-N,CCN1CCC[C@@H]1CNC(=O)c1cc(c(N)cc1OC)S(=O)(=O)CC,"0,08309","0,06968","0,06945","0,05434","0,10026","0,10026","0,07536","0,01724",
DKHGMERMDICWDU-GHDNBGIDSA-N,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC1=C(C)C(=O)c2ccccc2C1=O,"0,08485","0,07065","0,07036","0,05540","0,10024","0,10024","0,07630","0,01695",
YZZCJYJBCUJISI-UHFFFAOYSA-N,CCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,"0,08246","0,06893","0,06869","0,05394","0,10022","0,10022","0,07485","0,01741",
SKVPTPMWXJSBTF-UHFFFAOYSA-N,Cc1c(O)c(=O)n(-c2ccccc2)n1C,"0,08323","0,06964","0,06906","0,05422","0,10022","0,10022","0,07527","0,01731",
QLUYMIVVAYRECT-OCCSQVGLSA-N,CN1CC[C@H]([C@@H]1CO)c1c(O)cc(O)c2c1oc(cc2=O)-c1ccccc1Cl,"0,08342","0,06918","0,06846","0,05381","0,10022","0,10022","0,07502","0,01755",
MDKCFLQDBWCQCV-UHFFFAOYSA-N,S=C=NCc1ccccc1,"0,08311","0,06980","0,06915","0,05450","0,10022","0,10022","0,07536","0,01719",
TVURRHSHRRELCG-CYBMUJFWSA-N,Oc1ccc(cc1)[C@H]1CNCCc2c(Cl)c(O)c(O)cc12,"0,08310","0,06896","0,06841","0,05360","0,10019","0,10019","0,07485","0,01759",
YBYRMVIVWMBXKQ-UHFFFAOYSA-N,FS(=O)(=O)Cc1ccccc1,"0,08271","0,06977","0,06941","0,05451","0,10018","0,10018","0,07532","0,01711",
JLYXXMFPNIAWKQ-GNIYUCBRSA-N,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,"0,08153","0,06755","0,06672","0,05217","0,10018","0,10018","0,07363","0,01812",
CUQCMXFWIMOWRP-UHFFFAOYSA-N,NC(N)=NC(=N)Nc1ccccc1,"0,08352","0,07036","0,06998","0,05517","0,10018","0,10018","0,07584","0,01691",
RPTUSVTUFVMDQK-UHFFFAOYSA-N,NNc1nncc2ccccc12,"0,08325","0,06980","0,06919","0,05435","0,10017","0,10017","0,07535","0,01724",
RPTUSVTUFVMDQK-UHFFFAOYSA-N,N\N=c1/[nH]ncc2ccccc12,"0,08325","0,06980","0,06919","0,05435","0,10017","0,10017","0,07535","0,01724",
GHDWIFTUSXQYGK-FWYOQMDTSA-N,C[C@@H](C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)N2C)c1ccc(Br)cc1,"0,08291","0,06969","0,06911","0,05414","0,10015","0,10015","0,07520","0,01727",
UKTAZPQNNNJVKR-YXSUXZIUSA-N,O=C(O[C@H]1C[C@H]2C[C@H]3C[C@@H](C1)N2CC3=O)c1c[nH]c2ccccc12,"0,08242","0,06871","0,06790","0,05312","0,10014","0,10014","0,07446","0,01771",
AAGFPTSOPGCENQ-JLNYLFASSA-N,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,"0,08046","0,06674","0,06576","0,05061","0,10014","0,10014","0,07274","0,01860",
XIQVNETUBQGFHX-QFIPXVFZSA-N,CCN(CC)CC#CCOC(=O)[C@@](O)(C1CCCCC1)c1ccccc1,"0,08242","0,06867","0,06805","0,05288","0,10013","0,10013","0,07443","0,01777",
AULLUGALUBVBDD-UHFFFAOYSA-N,COc1cc2c(NC3CCN(C)CC3)nc(nc2cc1OCCOCCN(C)C)N1CCCN(C)CC1,"0,07831","0,06279","0,06130","0,04612","0,10010","0,10010","0,06972","0,02045",
BPZSYCZIITTYBL-ORAYPTAESA-N,COc1ccc(C[C@H](C)NC[C@@H](O)c2ccc(O)c(NC=O)c2)cc1,"0,08395","0,07031","0,06955","0,05477","0,10009","0,10009","0,07573","0,01709",
TXCGAZHTZHNUAI-UHFFFAOYSA-N,CC(C)(Oc1ccc(Cl)cc1)C(O)=O,"0,08327","0,07009","0,06964","0,05472","0,10008","0,10008","0,07556","0,01703",
AHFWIQIYAXSLBA-RQXATKFSSA-N,OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1ccc(F)c(Cc2cc3ccccc3s2)c1,"0,08481","0,07114","0,07058","0,05600","0,10006","0,10006","0,07652","0,01665",
IAVUPMFITXYVAF-XPUUQOCRSA-N,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(N)(=O)=O,"0,08250","0,06957","0,06966","0,05433","0,10005","0,10005","0,07522","0,01709",
INEHJXCWEVNEDZ-LUDNRVPPSA-N,O[C@@H]([C@H](O)C(O)=O)C(O)=O.Oc1ccc2[C@H]([C@H](CCc2c1)c1ccccc1)c1ccc(OCCN2CCCC2)cc1,"0,08366","0,06989","0,06919","0,05449","0,10003","0,10003","0,07545","0,01718",
MNTIJYGEITVWHU-SNVBAGLBSA-N,O=S1(=O)N[C@H]2CCCN2c2ccccc12,"0,08135","0,06822","0,06775","0,05271","0,10003","0,10003","0,07401","0,01773",
WDZVGELJXXEGPV-YIXHJXPBSA-N,NC(=N)N\N=C\c1c(Cl)cccc1Cl,"0,08364","0,07011","0,06954","0,05490","0,10003","0,10003","0,07564","0,01701",
NUZWLKWWNNJHPT-UHFFFAOYSA-N,Oc1cccc2Cc3cccc(O)c3C(=O)c12,"0,08336","0,06959","0,06913","0,05420","0,10002","0,10002","0,07526","0,01726",
NVTKJBXOBFRPLQ-UHFFFAOYSA-N,OC(=O)CNC(=O)c1c(O)n(C2CCCCC2)c(=O)n(C2CCCCC2)c1=O,"0,08166","0,06832","0,06788","0,05264","0,10001","0,10001","0,07410","0,01776",
ALCSGJCIESECFD-UHFFFAOYSA-N,NC(=O)CCCCn1ccc(NC(=N)NCC(F)(F)F)n1,"0,08390","0,07038","0,07018","0,05531","0,10001","0,10001","0,07596","0,01683",
OZBFBAYESADVDX-JTQLQIEISA-N,C[C@@](N)(C(O)=O)c1ccc(cc1)-c1nn[nH]n1,"0,08368","0,07020","0,06985","0,05484","0,10000","0,10000","0,07571","0,01698",
AFZLABYDOCWQBQ-WOJBJXKFSA-N,COc1cccc(CCc2ccccc2OCC[C@@H]2C[C@@H](O)CN2C)c1,"0,08327","0,06931","0,06840","0,05390","0,09998","0,09998","0,07497","0,01742",
HBZBAMXERPYTFS-SECBINFHSA-N,OC(=O)[C@H]1CSC(=N1)c1nc2cc3CCNc3cc2s1,"0,08286","0,06929","0,06893","0,05387","0,09996","0,09996","0,07498","0,01733",
NGHTXZCKLWZPGK-UHFFFAOYSA-N,Cc1cccc(C)c1NC(=O)CN1CCCC1=O,"0,08289","0,06959","0,06924","0,05427","0,09995","0,09995","0,07519","0,01715",
OZYUPQUCAUTOBP-QXAKKESOSA-N,Oc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC=C)c2c1,"0,08097","0,06727","0,06664","0,05162","0,09994","0,09994","0,07329","0,01816",
MQHOGPLXAXSQAJ-UHFFFAOYSA-N,COc1ccccc1N1CCN(CCCCN2C(=O)CCC2=O)CC1,"0,08007","0,06568","0,06468","0,04989","0,09992","0,09992","0,07205","0,01889",
CFPDEQBPNROZDC-UHFFFAOYSA-N,Cc1ccc2c(c1C)n(CCCN)c1ccccc1c2=O,"0,08348","0,06960","0,06887","0,05426","0,09990","0,09990","0,07522","0,01724",
LOUPRKONTZGTKE-LHHVKLHASA-N,COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CC[N@]3C[C@@H]4C=C)c2c1,"0,08227","0,06843","0,06745","0,05268","0,09990","0,09990","0,07415","0,01780",
LOUPRKONTZGTKE-WZBLMQSHSA-N,COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CC[N@]3C[C@@H]4C=C)c2c1,"0,08227","0,06843","0,06745","0,05268","0,09990","0,09990","0,07415","0,01780",
HRNLPPBUBKMZMT-RDRUQFPZSA-N,C[C@@H](N)C(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,"0,08390","0,07083","0,07023","0,05531","0,09988","0,09988","0,07603","0,01674",
VFOKSTCIRGDTBR-UHFFFAOYSA-N,CCCCOc1nc(N)c2NC(=O)CN(Cc3cccc(CN4CCCC4)c3)c2n1,"0,08165","0,06769","0,06667","0,05203","0,09987","0,09987","0,07358","0,01805",
VRYKTHBAWRESFI-VOTSOKGWSA-N,CN1CCCN=C1\C=C\c1cccc(O)c1,"0,08241","0,06890","0,06838","0,05358","0,09986","0,09986","0,07463","0,01741",
VMWNQDUVQKEIOC-CYBMUJFWSA-N,CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31,"0,08231","0,06847","0,06795","0,05307","0,09986","0,09986","0,07433","0,01763",
ZISJNXNHJRQYJO-CMDGGOBGSA-N,CC(C)c1c(O)cc(\C=C\c2ccccc2)cc1O,"0,08370","0,06989","0,06922","0,05446","0,09983","0,09983","0,07542","0,01712",
OJGDCBLYJGHCIH-UHFFFAOYSA-N,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,"0,08188","0,06828","0,06775","0,05279","0,09983","0,09983","0,07411","0,01768",
OEOYJZUHFXEJEI-UHFFFAOYSA-N,Nc1c(Cl)cc(C=C2NCCN2)cc1Cl,"0,08244","0,06863","0,06813","0,05332","0,09983","0,09983","0,07447","0,01752",
ACRHBAYQBXXRTO-OAQYLSRUSA-N,COc1cc2C[C@H](CN(C)CCCN3CCc4cc(OC)c(OC)cc4CC3=O)c2cc1OC,"0,07931","0,06445","0,06346","0,04854","0,09982","0,09982","0,07112","0,01939",
BVMDRSUIADWFLV-PNSAJKJISA-N,CC1(C)Oc2ccc(cc2[C@H]([C@@H]1O)N1CCCC1=O)C#N.CC1(C)Oc2ccc(cc2[C@@H]([C@H]1O)N1CCCC1=O)C#N,"0,07901","0,06317","0,06209","0,04682","0,09982","0,09982","0,07018","0,02010",
HSUGRBWQSSZJOP-RTWAWAEBSA-N,COc1ccc(cc1)[C@@H]1Sc2ccccc2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,"0,08228","0,06831","0,06768","0,05286","0,09981","0,09981","0,07419","0,01771",
PEZPMAYDXJQYRV-UHFFFAOYSA-N,NCCNc1ccc(NCCN)c2C(=O)c3cnccc3C(=O)c12,"0,08361","0,06983","0,06958","0,05470","0,09979","0,09979","0,07550","0,01700",
MJCKISCWHDATBN-UHFFFAOYSA-N,CCN1CCN=C1CNC(=O)c1cc(Cl)c(N)cc1OC,"0,08304","0,06929","0,06878","0,05404","0,09979","0,09979","0,07499","0,01725",
XIVUGRBSBIXXJE-UHFFFAOYSA-N,COc1cc2c(NC3CCN(C)CC3)nc(nc2cc1OCCCN(C)C)N1CCCN(C)CC1,"0,07803","0,06227","0,06074","0,04559","0,09979","0,09979","0,06928","0,02056",
OEBPANQZQGQPHF-UHFFFAOYSA-N,Cn1c(NCCN(CCO)CCCc2ccc(cc2)[N+]([O-])=O)cc(=O)n(C)c1=O,"0,08294","0,06926","0,06876","0,05401","0,09978","0,09978","0,07495","0,01724",
HQGWKNGAKBPTBX-LBPRGKRZSA-N,CO[C@]1(COc2ccccc2O1)C1=NCCN1,"0,08163","0,06786","0,06741","0,05250","0,09978","0,09978","0,07383","0,01779",
LIBVHXXKHSODII-UHFFFAOYSA-N,Oc1ccc(CCNCCN(C2CCCCC2)C(=O)CCNCCc2ccc(Cl)c(Cl)c2)c2OCC(=O)Nc12,"0,08291","0,06916","0,06884","0,05412","0,09974","0,09974","0,07495","0,01720",
XOJFFEJRKAIVCH-UHFFFAOYSA-N,CCOC(=O)Nc1cc2N=C(C)C(Nc2c(N)n1)c1ccccc1,"0,08321","0,06954","0,06898","0,05423","0,09973","0,09973","0,07514","0,01715",
PKNYXWMTHFMHKD-UHFFFAOYSA-N,CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)NC2CCCCC2)cc1)C(O)=O,"0,08203","0,06854","0,06830","0,05307","0,09973","0,09973","0,07433","0,01751",
YAMVZYRZAMBCED-UHFFFAOYSA-N,CCOc1ccc(c2cccnc12)S(O)(=O)=O,"0,08303","0,06978","0,06934","0,05449","0,09971","0,09971","0,07527","0,01699",
OMZYUVOATZSGJY-UHFFFAOYSA-N,Brc1c(Br)c(Br)c2n[nH]nc2c1Br,"0,08305","0,06900","0,06868","0,05366","0,09970","0,09970","0,07482","0,01737",
ZZLQPWXVZCPUGC-LURJTMIESA-N,C[C@H]1CCc2c(Br)c(F)c(Br)cc2N1C=O,"0,08251","0,06905","0,06854","0,05369","0,09969","0,09969","0,07470","0,01730",
YVPUUUDAZYFFQT-UHFFFAOYSA-N,CN1CCN(CC1)c1cccc2[nH]c(=O)oc12,"0,08153","0,06778","0,06708","0,05231","0,09968","0,09968","0,07368","0,01784",
GTUIQNHJSXQMKW-HTQZYQBOSA-N,Clc1ccc(o1)C(=O)N1C[C@H]2CNC[C@@H]2C1,"0,08184","0,06856","0,06811","0,05323","0,09968","0,09968","0,07428","0,01744",
RRGUKTPIGVIEKM-UHFFFAOYSA-N,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,"0,08095","0,06688","0,06589","0,05121","0,09968","0,09968","0,07292","0,01829",
YMARZQAQMVYCKC-OEMFJLHTSA-N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,"0,08328","0,07032","0,06995","0,05495","0,09967","0,09967","0,07563","0,01677",
WDOGQTQEKVLZIJ-WAYWQWQTSA-N,COc1ccc(\C=C/c2cc(OC)c(OC)c(OC)c2)cc1OP(O)(O)=O,"0,08332","0,06939","0,06860","0,05404","0,09966","0,09966","0,07500","0,01724",
POADTFBBIXOWFJ-VWLOTQADSA-N,CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccccc4c(CC[Si](C)(C)C)c3Cn1c2=O,"0,08151","0,06762","0,06701","0,05196","0,09964","0,09964","0,07355","0,01794",
ACVGNKYJVGNLIL-UHFFFAOYSA-N,COc1ccc(cc1)-c1ccc(=N)n(CCCC(O)=O)n1,"0,08366","0,06998","0,06924","0,05465","0,09963","0,09963","0,07543","0,01698",
KJHKTHWMRKYKJE-SUGCFTRWSA-N,CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)COc1c(C)cccc1C)Cc1ccccc1,"0,08371","0,07032","0,06961","0,05487","0,09962","0,09962","0,07563","0,01685",
IPEXHQGMTHOKQV-UHFFFAOYSA-N,O=c1[nH]ccc2cc(OC3CCNCC3)ccc12,"0,08201","0,06835","0,06767","0,05301","0,09961","0,09961","0,07413","0,01756",
ATORKVYCKKBNTF-UHFFFAOYSA-N,COc1cc2c(nc(nc2cc1OCCCN1CCCC1)C1CCCCC1)N(C)C1CCN(CC1)C(C)C,"0,07783","0,06208","0,06063","0,04527","0,09961","0,09961","0,06908","0,02059",
JDEMVNYMYPJJIM-UHFFFAOYSA-N,Cc1cc2nc3c(nc(=O)[nH]c3=O)n(C)c2cc1C=O,"0,08292","0,06890","0,06819","0,05349","0,09959","0,09959","0,07462","0,01741",
WKSAUQYGYAYLPV-UHFFFAOYSA-N,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,"0,08284","0,06887","0,06804","0,05338","0,09959","0,09959","0,07454","0,01745",
PWZUUYSISTUNDW-VAFBSOEGSA-N,C[C@]12CC[C@H]3[C@@H](CCc4cc(OC5CCCC5)ccc34)[C@@H]1CC[C@@]2(O)C#C,"0,07915","0,06396","0,06285","0,04733","0,09957","0,09957","0,07057","0,01974",
YUTJCNNFTOIOGT-UHFFFAOYSA-N,Oc1cccc2cc3cccc(O)c3c(O)c12,"0,08326","0,06929","0,06868","0,05392","0,09957","0,09957","0,07494","0,01724",
FCDLCPWAQCPTKC-UHFFFAOYSA-N,OC(=O)c1cc(O)c2C(=O)c3c(O)cccc3C(=O)c2c1,"0,08357","0,06972","0,06946","0,05454","0,09953","0,09953","0,07536","0,01697",
CDRPUGZCRXZLFL-OWOJBTEDSA-N,Oc1cc(O)cc(\C=C\c2ccc(O)c(O)c2)c1,"0,08363","0,06953","0,06891","0,05425","0,09953","0,09953","0,07517","0,01713",
WVLHHLRVNDMIAR-IBGZPJMESA-N,NCCCCN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc12,"0,08257","0,06867","0,06785","0,05331","0,09951","0,09951","0,07438","0,01745",
CUNDRHORZHFPLY-UHFFFAOYSA-N,CCN(CC)CCNc1ccc2ncn3c2c1c(=O)c1cc(O)ccc31,"0,08290","0,06886","0,06823","0,05354","0,09950","0,09950","0,07461","0,01736",
HPMRFMKYPGXPEP-SNVBAGLBSA-N,C1CN=C(N1)[C@H]1COc2ccccc2O1,"0,08144","0,06773","0,06731","0,05241","0,09949","0,09949","0,07368","0,01771",
LYJSJVYJLZOMCD-UHFFFAOYSA-N,CCCCCS(=O)(=O)CCCCCCCCCCn1c(c(C)c2cc(O)ccc12)-c1ccc(O)cc1,"0,08338","0,07003","0,06987","0,05493","0,09949","0,09949","0,07554","0,01675",
HBBVCKCCQCQCTJ-UHFFFAOYSA-N,CCCc1c(O)c(ccc1OCCCOc1ccc(OCC(O)=O)cc1)C(C)=O,"0,08375","0,07015","0,06969","0,05506","0,09947","0,09947","0,07562","0,01675",
BSMNRYCSBFHEMQ-KCJUWKMLSA-N,Clc1ccc(cc1Cl)[C@@]12C[C@@H]1CNC2,"0,08169","0,06815","0,06757","0,05277","0,09946","0,09946","0,07393","0,01756",
ZSBXGIUJOOQZMP-JLNYLFASSA-N,O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,"0,07876","0,06493","0,06371","0,04854","0,09943","0,09943","0,07107","0,01913",
ZPACYDRSPFRDHO-ROBAGEODSA-N,CC(C)=CCC\C(C)=C\CC\C(C)=C\CCC(=O)OC\C=C(/C)CCC=C(C)C,"0,08423","0,07025","0,07013","0,05552","0,09942","0,09942","0,07591","0,01661",
WUFQLZTXIWKION-UHFFFAOYSA-N,C1CN2Cc3ccccc3N=C2C1,"0,08111","0,06786","0,06729","0,05243","0,09942","0,09942","0,07362","0,01764",
HNJJXZKZRAWDPF-UHFFFAOYSA-N,CN(C)CCN(Cc1cccs1)c1ccccn1,"0,08170","0,06776","0,06702","0,05235","0,09940","0,09940","0,07365","0,01775",
URFCJEUYXNAHFI-ZDUSSCGKSA-N,Oc1cc(O)c2C(=O)C[C@H](Oc2c1)c1ccccc1,"0,08290","0,06908","0,06853","0,05379","0,09939","0,09939","0,07474","0,01720",
AMAOXEGBJHLCSF-CQSZACIVSA-N,CC[C@H]1NC(=O)N(C1=O)c1ccc(Oc2ccc(C)c(OC)c2)nc1,"0,08255","0,06854","0,06787","0,05320","0,09938","0,09938","0,07431","0,01744",
FHCUMDQMBHQXKK-CDIODLITSA-N,COC[C@H]1C[C@H](N(C1)C(=O)[C@H](NC(=O)OC)c1ccccc1)c1nc(c[nH]1)-c1ccc-2c(COc3cc4c5nc([nH]c5ccc4cc-23)[C@@H]2CC[C@H](C)N2C(=O)[C@@H](NC(=O)OC)C(C)C)c1,"0,08234","0,06804","0,06740","0,05263","0,09937","0,09937","0,07396","0,01767",
XDLYKKIQACFMJG-WKILWMFISA-N,COc1ccc(cn1)-c1cc2c(C)nc(N)nc2n([C@H]2CC[C@@H](CC2)OCCO)c1=O,"0,08186","0,06780","0,06689","0,05229","0,09936","0,09936","0,07364","0,01778",
GULVVTHHUIIMRL-WUFINQPMSA-N,CCCC(=O)C1(CCN(CC1)C(=O)[C@@H](Cc1ccc(OC)cc1)NC(=O)[C@@H](N)Cc1cncn1C)c1ccccc1,"0,08342","0,07034","0,06980","0,05497","0,09934","0,09934","0,07557","0,01667",
XBPCUCUWBYBCDP-UHFFFAOYSA-N,C1CCC(CC1)NC1CCCCC1,"0,07930","0,06614","0,06546","0,05022","0,09932","0,09932","0,07209","0,01838",
NUPUDYKEEJNZRG-LBPRGKRZSA-N,CN1CCC[C@H]1c1cncc(c1)C#C,"0,08158","0,06804","0,06746","0,05263","0,09931","0,09931","0,07380","0,01756",
AHKAOMZZTQULDS-ZDUSSCGKSA-N,O=C(O[C@H]1CN2CCC1CC2)c1ccccc1,"0,08155","0,06852","0,06776","0,05306","0,09930","0,09930","0,07404","0,01736",
BTXNYTINYBABQR-UHFFFAOYSA-N,Cc1cc(O)c2c3c1c1c(C)cc(O)c4c1c1c3c3c(c(O)cc(O)c3c2=O)c2c(O)cc(O)c(c12)c4=O,"0,08146","0,06550","0,06491","0,04968","0,09930","0,09930","0,07217","0,01888",
YYHWOTFWBVRTQD-UHFFFAOYSA-N,Cc1cc(nn2cnnc12)N1CCCCC1,"0,08120","0,06739","0,06669","0,05184","0,09929","0,09929","0,07328","0,01787",
SRBPKVWITYPHQR-KRWDZBQOSA-N,O[C@@H](CNCCOc1ccc(CC(O)=O)cc1)c1ccccc1,"0,08325","0,06978","0,06907","0,05446","0,09928","0,09928","0,07517","0,01690",
GZHFODJQISUKAY-UHFFFAOYSA-N,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc12,"0,08167","0,06785","0,06753","0,05259","0,09928","0,09928","0,07379","0,01758",
SXNJFOWDRLKDSF-STROYTFGSA-N,CC[C@H]1N(C(C)C)c2nc(Nc3ccc(cc3OC)C(=O)N[C@H]3CC[C@@H](CC3)N3CCN(CC4CC4)CC3)ncc2N(C)C1=O,"0,07830","0,06279","0,06140","0,04623","0,09924","0,09924","0,06959","0,02009",
