InChiKey,SMILE,Ca,Cn,Pl,Fp,Af,Max,Average,Stddev,pert_iname
DFPMSGMNTNDNHN-ZPHOTFPESA-N,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2Oc2cc(O)c3C(=O)C[C@H](Oc3c2)c2ccc(O)cc2)[C@H](O)[C@H](O)[C@H]1O,"0,10434","0,08822","0,08722","0,07044","0,12199","0,12199","0,09444","0,01952",
MUQNGPZZQDCDFT-JNQJZLCISA-N,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CCl,"0,10128","0,08190","0,08033","0,06117","0,12198","0,12198","0,08933","0,02312",
FBHSPRKOSMHSIF-GRMWVWQJSA-N,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]21C,"0,10217","0,08455","0,08320","0,06471","0,12197","0,12197","0,09132","0,02166",
FKNXQNWAXFXVNW-BLLLJJGKSA-N,CC[C@H](NC(C)C)[C@H](O)c1ccc(O)c2[nH]c(=O)ccc12,"0,10258","0,08630","0,08548","0,06750","0,12195","0,12195","0,09276","0,02050",
OMDMTHRBGUBUCO-BDAKNGLRSA-N,CC1=CC[C@H](C[C@@H]1O)C(C)(C)O,"0,10166","0,08597","0,08566","0,06768","0,12194","0,12194","0,09258","0,02035",
SYWHXTATXSMDSB-GSLJADNHSA-N,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,"0,10124","0,08278","0,08137","0,06231","0,12193","0,12193","0,08992","0,02258",
UGJMXCAKCUNAIE-UHFFFAOYSA-N,NCC1(CC(O)=O)CCCCC1,"0,10113","0,08576","0,08545","0,06742","0,12192","0,12192","0,09234","0,02040",
SHXVJSFOJHMEEQ-AXTSPUMRSA-N,CC(C)[C@@H]1[C@H]2CC[C@@H](C2)[C@H]1N,"0,10128","0,08578","0,08549","0,06742","0,12191","0,12191","0,09238","0,02041",
AIWRTTMUVOZGPW-HSPKUQOVSA-N,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](Cc1ccc(O)cc1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](Cc1cccnc1)NC(=O)[C@@H](Cc1ccc(Cl)cc1)NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,"0,10360","0,08842","0,08741","0,06917","0,12191","0,12191","0,09410","0,01976",
YFDSDPIBEUFTMI-UHFFFAOYSA-N,OCC(Br)(Br)Br,"0,10156","0,08606","0,08548","0,06816","0,12191","0,12191","0,09263","0,02019",
GBOGMAARMMDZGR-TYHYBEHESA-N,C[C@H]1[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]22OC(=O)\C=C\[C@H](O)CCC[C@@H](C)C\C=C\[C@H]2[C@H](O)C1=C,"0,10191","0,08474","0,08336","0,06549","0,12190","0,12190","0,09148","0,02134",
MBWXNTAXLNYFJB-NKFFZRIASA-N,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CC1=C(C)C(=O)c2ccccc2C1=O,"0,10322","0,08721","0,08705","0,06874","0,12189","0,12189","0,09362","0,01997",
KBKUJJFDSHBPPA-ZNCGZLKOSA-N,[H][C@@]12CC[C@]3(O)C[C@@H](O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@H]([C@@H](OC(C)=O)[C@H]3O[C@@]213)c1ccc(=O)oc1,"0,10097","0,08282","0,08151","0,06295","0,12189","0,12189","0,09003","0,02232",
JADDQZYHOWSFJD-FLNNQWSLSA-N,CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12,"0,10323","0,08674","0,08626","0,06865","0,12188","0,12188","0,09335","0,02010",
PCLITLDOTJTVDJ-UHFFFAOYSA-N,Cc1ncsc1CCCl,"0,10170","0,08566","0,08484","0,06739","0,12188","0,12188","0,09229","0,02052",
YWXYYJSYQOXTPL-SLPGGIOYSA-N,O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)O[N+]([O-])=O,"0,10132","0,08563","0,08504","0,06744","0,12187","0,12187","0,09226","0,02044",
HESCAJZNRMSMJG-QJCAGBKWSA-N,C[C@H]1CCC[C@H]2O[C@H]2C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)C(\C)=C\c1csc(C)n1,"0,10233","0,08501","0,08423","0,06628","0,12187","0,12187","0,09194","0,02103",
GVEZIHKRYBHEFX-NQQPLRFYSA-N,C\C=C\C\C=C\CCC(=O)[C@H]1O[C@H]1C(N)=O,"0,10265","0,08645","0,08589","0,06862","0,12187","0,12187","0,09310","0,02009",
QTTRZHGPGKRAFB-OOKHYKNYSA-N,CCC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,"0,10140","0,08331","0,08185","0,06339","0,12181","0,12181","0,09035","0,02214",
MVNCPACIPXNJIW-IUCAKERBSA-N,CC(C)OC(=O)CNC(=O)[C@H](CS)NC(=O)CC[C@H](N)C(O)=O,"0,10228","0,08719","0,08750","0,06917","0,12178","0,12178","0,09359","0,01965",
VZJFGSRCJCXDSG-UHFFFAOYSA-N,C[N+](C)(C)CCCCCC[N+](C)(C)C,"0,09948","0,08264","0,08227","0,06405","0,12176","0,12176","0,09004","0,02171",
KFQUAMTWOJHPEJ-DAGMQNCNSA-N,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ncc2c(O)ncnc12,"0,10333","0,08674","0,08588","0,06873","0,12175","0,12175","0,09328","0,02007",
HPNSFSBZBAHARI-RUDMXATFSA-N,COc1c(C)c2COC(=O)c2c(O)c1C\C=C(/C)CCC(O)=O,"0,10309","0,08660","0,08608","0,06831","0,12172","0,12172","0,09316","0,02016",
CBGUOGMQLZIXBE-XGQKBEPLSA-N,CCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CCl,"0,10194","0,08382","0,08217","0,06358","0,12171","0,12171","0,09064","0,02204",
SHIBSTMRCDJXLN-KCZCNTNESA-N,C[C@@]12[C@H](CC[C@]1(O)[C@@H]1CC[C@@H]3C[C@@H](O)CC[C@]3(C)[C@H]1C[C@H]2O)C1=CC(=O)OC1,"0,09919","0,08052","0,07884","0,06008","0,12170","0,12170","0,08807","0,02335",
GNXFOGHNGIVQEH-MRVPVSSYSA-N,COc1ccccc1OC[C@@H](O)COC(N)=O,"0,10196","0,08599","0,08529","0,06746","0,12168","0,12168","0,09248","0,02038",
UNFWWIHTNXNPBV-WXKVUWSESA-N,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@]3(O)[C@@H](O[C@H](C)CC3=O)O[C@@H]2[C@H]1O,"0,10286","0,08655","0,08575","0,06871","0,12167","0,12167","0,09311","0,02002",
BFCDFTHTSVTWOG-YLJYHZDGSA-N,CCCCCCCCN[C@H](C)[C@@H](O)c1ccc(SC(C)C)cc1,"0,10212","0,08602","0,08553","0,06754","0,12167","0,12167","0,09258","0,02035",
YXEWPGYLMHXLPS-UHFFFAOYSA-N,CCC(=O)OCN1C(=O)C=CC1=O,"0,10147","0,08582","0,08544","0,06751","0,12166","0,12166","0,09238","0,02031",
FIHJKUPKCHIPAT-AHIGJZGOSA-N,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(O)=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,"0,10206","0,08536","0,08486","0,06683","0,12163","0,12163","0,09215","0,02066",
UXCAQJAQSWSNPQ-XLPZGREQSA-N,Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O,"0,10261","0,08605","0,08532","0,06824","0,12163","0,12163","0,09277","0,02020",
HTKFORQRBXIQHD-UHFFFAOYSA-N,NC(=S)NCC=C,"0,10136","0,08596","0,08543","0,06802","0,12162","0,12162","0,09248","0,02012",
WJAJPNHVVFWKKL-UHFFFAOYSA-N,COc1ccc(OC)c(c1)C(O)C(C)N,"0,10165","0,08573","0,08489","0,06697","0,12162","0,12162","0,09217","0,02053",
URAYPUMNDPQOKB-UHFFFAOYSA-N,CC(=O)OCC(COC(C)=O)OC(C)=O,"0,10143","0,08613","0,08609","0,06827","0,12159","0,12159","0,09270","0,01997",
VQASKUSHBVDKGU-SSDOTTSWSA-N,CC[C@@]1(C)OC(=O)N(C)C1=O,"0,10071","0,08500","0,08454","0,06660","0,12156","0,12156","0,09168","0,02061",
VUAFHZCUKUDDBC-BYPYZUCNSA-N,CC(C)(S)C(=O)N[C@@H](CS)C(O)=O,"0,10144","0,08653","0,08669","0,06876","0,12155","0,12155","0,09299","0,01972",
OMFXVFTZEKFJBZ-HJTSIMOOSA-N,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO,"0,10048","0,08286","0,08148","0,06324","0,12152","0,12152","0,08992","0,02204",
HTQBXNHDCUEHJF-XWLPCZSASA-N,[H]N[C@@H](Cc1c[nH]cn1)C(=O)NCC(=O)N[C@@H](CCC(O)=O)C(=O)NCC(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(N)=O,"0,11044","0,10173","0,10176","0,08850","0,12149","0,12149","0,10478","0,01219",
ACTOXUHEUCPTEW-VTGPZPQGSA-N,CO[C@H]1[C@H](O)CC(=O)O[C@H](C)C\C=C\C=C\[C@H](O[C@H]2CC[C@@H]([C@@H](C)O2)N(C)C)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@@H]([C@H]1O)N(C)C,"0,10386","0,08728","0,08669","0,06980","0,12144","0,12144","0,09381","0,01958",
OXPLANUPKBHPMS-FYSAVPLMSA-N,[H][C@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(O[C@@H](O2)C1CCCCC1)C(=O)CO,"0,10112","0,08303","0,08136","0,06287","0,12144","0,12144","0,08996","0,02220",
BGBNULCRKBVAKL-SNVBAGLBSA-N,COC[C@@]1(CO)N2CCC(CC2)C1=O,"0,10059","0,08482","0,08419","0,06638","0,12144","0,12144","0,09148","0,02066",
NWIBSHFKIJFRCO-WUDYKRTCSA-N,CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O,"0,10144","0,08507","0,08469","0,06650","0,12143","0,12143","0,09182","0,02066",
WJOHZNCJWYWUJD-IUGZLZTKSA-N,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C,"0,10175","0,08286","0,08124","0,06225","0,12143","0,12143","0,08991","0,02249",
AJMOLNFDYWTVQW-QWRGUYRKSA-N,COC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CC(C)C,"0,10112","0,08614","0,08615","0,06792","0,12141","0,12141","0,09255","0,01997",
OBATZBGFDSVCJD-LALPQLPRSA-N,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1)O[C@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2C[C@@H](O)[C@]2(C)[C@H](CC[C@]32O)C2=CC(=O)OC2)C1,"0,10436","0,08837","0,08704","0,07104","0,12141","0,12141","0,09444","0,01914",
TZXKOCQBRNJULO-UHFFFAOYSA-N,Cc1c(O)c(=O)ccn1C,"0,10129","0,08545","0,08476","0,06708","0,12140","0,12140","0,09199","0,02041",
OPVPGKGADVGKTG-BQBZGAKWSA-N,CC(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(O)=O,"0,10172","0,08676","0,08698","0,06880","0,12135","0,12135","0,09312","0,01962",
MDYVZYDNBUAVCN-WCAKBIDQSA-N,[H][C@@]12Cc3cccc(O)c3C(=O)[C@@H]1C(=O)[C@]1(O)C(=O)[C@H](C(N)=O)C(=O)C[C@]1([H])C2,"0,10097","0,08457","0,08380","0,06577","0,12134","0,12134","0,09129","0,02091",
NKHAVTQWNUWKEO-NSCUHMNNSA-N,COC(=O)\C=C\C(O)=O,"0,10128","0,08601","0,08569","0,06820","0,12133","0,12133","0,09250","0,01992",
CQTYJLQESPLSOP-ZCFIWIBFSA-N,CC(=O)NCC(=O)N[C@H](CCC(O)=O)C(O)=O,"0,10156","0,08655","0,08675","0,06873","0,12133","0,12133","0,09298","0,01965",
FCKJYANJHNLEEP-XRWYNYHCSA-N,C[C@H](CC[C@@H](O)C(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,"0,10057","0,08270","0,08192","0,06313","0,12131","0,12131","0,08993","0,02198",
ATMNQRRJNBCQJO-UHFFFAOYSA-N,CCCCCCOc1cc(C)c(O)c(C)c1C,"0,10168","0,08520","0,08455","0,06701","0,12129","0,12129","0,09195","0,02048",
AUGQEEXBDZWUJY-ZLJUKNTDSA-N,CC(=O)OC[C@]12CCC(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](OC(C)=O)[C@@]2(C)[C@@]11CO1,"0,10187","0,08548","0,08464","0,06701","0,12128","0,12128","0,09206","0,02047",
RLDVZILFNVRJTL-ZMHPOSLNSA-N,CC(C)=CCC[C@@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@@]21C,"0,10591","0,09079","0,08948","0,07457","0,12127","0,12127","0,09640","0,01778",
IWYDHOAUDWTVEP-SSDOTTSWSA-N,O[C@@H](C(O)=O)c1ccccc1,"0,10121","0,08581","0,08513","0,06741","0,12124","0,12124","0,09216","0,02019",
IXOXBSCIXZEQEQ-UHTZMRCNSA-N,COc1nc(N)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,"0,10290","0,08633","0,08554","0,06836","0,12121","0,12121","0,09287","0,02001",
RAIPHJJURHTUIC-UHFFFAOYSA-N,Nc1nccs1,"0,10080","0,08525","0,08442","0,06690","0,12121","0,12121","0,09172","0,02039",
XQZXYNRDCRIARQ-LURJTMIESA-N,C[C@H](O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,"0,10245","0,08636","0,08596","0,06818","0,12121","0,12121","0,09283","0,01997",
BKAYIFDRRZZKNF-VIFPVBQESA-N,CC(=O)NCCC(=O)N[C@@H](Cc1cnc[nH]1)C(O)=O,"0,10178","0,08619","0,08601","0,06814","0,12120","0,12120","0,09266","0,01991",
OBKXEAXTFZPCHS-UHFFFAOYSA-N,OC(=O)CCCc1ccccc1,"0,10141","0,08582","0,08508","0,06757","0,12119","0,12119","0,09221","0,02014",
GZSOSUNBTXMUFQ-YFAPSIMESA-N,COc1ccc(cc1O)-c1cc(=O)c2c(O)cc(O[C@@H]3O[C@H](CO[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)cc2o1,"0,10366","0,08777","0,08678","0,07002","0,12115","0,12115","0,09388","0,01934",
MGNVWUDMMXZUDI-UHFFFAOYSA-N,OS(=O)(=O)CCCS(O)(=O)=O,"0,10070","0,08546","0,08524","0,06775","0,12114","0,12114","0,09206","0,02001",
